hypothesis_id,a,adjustment,after,and,are,as,associated,association,beta,beta_power,between,combined,confounds,connectivity,control,coupling,covariate,covariates,density,difference,differs,disruption,dmn,dti,eeg,evolved,explicitly,exploratory,explored,fa,features,fmri,from,generation,group,groups,hc,healthy,higher,hyperarousal,in_scanner_sleep_time,ins,insomnia,integrity,is,isi,jointly,lower,matter,mean_fd
H006,0.0,0.098653,0.098653,0.064762,0.0,0.0,0.054709,0.054709,0.0,0.0,0.0,0.0,0.0,0.098653,0.0,0.064762,0.098653,0.0,0.0,0.0,0.0,0.0,0.098653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054709,0.0,0.064762,0.0,0.054709,0.141855,0.0,0.0,0.0,0.05942
H004,0.0,0.0,0.0,0.0,0.0,0.0,0.075985,0.075985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179893,0.0,0.0,0.082528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075985,0.0,0.0,0.0,0.075985,0.0,0.0,0.0,0.0,0.082528
H003,0.0,0.0,0.0,0.0,0.0,0.0,0.068386,0.068386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123317,0.0,0.0,0.0,0.0,0.108933,0.0,0.0,0.0,0.080952,0.0,0.068386,0.177319,0.0,0.14359,0.0,0.0
H005,0.0,0.0,0.0,0.0,0.0,0.0,0.06513,0.06513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207491,0.0,0.0,0.0,0.0,0.117445,0.06513,0.0,0.0,0.0,0.117445,0.0
H002,0.0,0.0,0.0,0.089947,0.0,0.0,0.0,0.0,0.159545,0.319089,0.137019,0.0,0.0,0.0,0.137019,0.0,0.0,0.0,0.0,0.137019,0.137019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137019,0.137019,0.137019,0.137019,0.0,0.159545,0.0,0.137019,0.089947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H001,0.0,0.0,0.0,0.077097,0.0,0.0,0.0,0.0,0.0,0.0,0.117445,0.0,0.0,0.0,0.117445,0.0,0.0,0.0,0.070738,0.117445,0.117445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117445,0.117445,0.117445,0.117445,0.117445,0.0,0.0,0.0,0.117445,0.077097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H007,0.0,0.0,0.0,0.06746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102764,0.0,0.119658,0.119658,0.0,0.0,0.0,0.0,0.0,0.102764,0.119658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056989,0.0,0.06746,0.0,0.0,0.147766,0.119658,0.0,0.0,0.061896
H004_refine1,0.0,0.0,0.0,0.0,0.0,0.06984,0.048847,0.048847,0.0,0.0,0.0,0.0,0.077809,0.0,0.0,0.115646,0.0,0.077809,0.053054,0.0,0.0,0.0,0.0,0.0,0.0,0.077809,0.077809,0.077809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048847,0.0,0.0,0.0,0.048847,0.0,0.0,0.0,0.0,0.053054
H006_refine1,0.0,0.070467,0.070467,0.046258,0.0,0.055872,0.039078,0.039078,0.0,0.0,0.0,0.0,0.062247,0.070467,0.0,0.046258,0.070467,0.062247,0.0,0.0,0.0,0.0,0.070467,0.0,0.0,0.062247,0.062247,0.062247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039078,0.0,0.046258,0.0,0.039078,0.101325,0.0,0.0,0.0,0.042443
H005_refine1,0.0,0.0,0.0,0.0,0.0,0.06111,0.042741,0.042741,0.0,0.0,0.0,0.0,0.068083,0.0,0.0,0.0,0.0,0.068083,0.046422,0.0,0.0,0.0,0.0,0.0,0.0,0.068083,0.068083,0.068083,0.0,0.077073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136166,0.0,0.042741,0.0,0.0,0.077073,0.042741,0.0,0.0,0.0,0.077073,0.0
H004_H006_merge1,0.0,0.0,0.0,0.111658,0.099028,0.0,0.047163,0.0,0.0,0.0,0.0,0.099028,0.0,0.0,0.0,0.223316,0.0,0.0,0.0,0.0,0.0,0.085046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085046,0.0,0.099028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051224
H004_mutate1,0.089744,0.0,0.0,0.0,0.0,0.122219,0.0,0.085483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10119,0.0,0.0,0.046422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042741,0.0,0.0,0.0,0.042741,0.110824,0.0,0.0,0.0,0.046422
