feature_name,modality,source_file,source_column,role,dtype,unit,description,missing_rate,n_available,qc_dependency,approved,approval_reason
session,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,session,feature,categorical,,fMRI variable session,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
task,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,task,feature,categorical,,fMRI variable task,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_GS_pre_mean,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_GS_pre_mean,qc,numeric,,fMRI variable qc_signal_GS_pre_mean,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_GS_post_mean,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_GS_post_mean,qc,numeric,,fMRI variable qc_signal_GS_post_mean,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_GS_mean_delta,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_GS_mean_delta,qc,numeric,,fMRI variable qc_signal_GS_mean_delta,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_GS_pre_sigma,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_GS_pre_sigma,qc,numeric,,fMRI variable qc_signal_GS_pre_sigma,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_GS_post_sigma,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_GS_post_sigma,qc,numeric,,fMRI variable qc_signal_GS_post_sigma,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_GS_sigma_delta,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_GS_sigma_delta,qc,numeric,,fMRI variable qc_signal_GS_sigma_delta,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_GS_sigma_reduction_percent,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_GS_sigma_reduction_percent,qc,numeric,,fMRI variable qc_signal_GS_sigma_reduction_percent,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_GS_pre_max,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_GS_pre_max,qc,numeric,,fMRI variable qc_signal_GS_pre_max,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_GS_post_max,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_GS_post_max,qc,numeric,,fMRI variable qc_signal_GS_post_max,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_CSF_pre_mean,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_CSF_pre_mean,qc,numeric,,fMRI variable qc_signal_CSF_pre_mean,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_CSF_post_mean,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_CSF_post_mean,qc,numeric,,fMRI variable qc_signal_CSF_post_mean,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_CSF_mean_delta,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_CSF_mean_delta,qc,numeric,,fMRI variable qc_signal_CSF_mean_delta,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_CSF_pre_sigma,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_CSF_pre_sigma,qc,numeric,,fMRI variable qc_signal_CSF_pre_sigma,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_CSF_post_sigma,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_CSF_post_sigma,qc,numeric,,fMRI variable qc_signal_CSF_post_sigma,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_CSF_sigma_delta,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_CSF_sigma_delta,qc,numeric,,fMRI variable qc_signal_CSF_sigma_delta,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_CSF_sigma_reduction_percent,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_CSF_sigma_reduction_percent,qc,numeric,,fMRI variable qc_signal_CSF_sigma_reduction_percent,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_CSF_pre_max,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_CSF_pre_max,qc,numeric,,fMRI variable qc_signal_CSF_pre_max,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
qc_signal_CSF_post_max,fMRI,/home/zyb/Agent_skills/SleepAgent/outputs/discovery_loop/iteration_003/features/fmri/pre_experiment_features/fmri_features.csv,qc_signal_CSF_post_max,qc,numeric,,fMRI variable qc_signal_CSF_post_max,0.0,93,['fMRI'],True,passes missingness and sample-size thresholds
